,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
1005751836898964351,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,The AI business landscape,What the Google I/O schedule tells us about the future of Android,"Secret's founder returns with Bold, a Medium for enterprise",5 reasons your employees aren't sharing their knowledge,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
1012456848389051365,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,What Apple's differential privacy means for your data and the future of machine learning
1019706997674210703,Assista a entrevista de Linus Torvalds no TED legendada,Firebase and Google Cloud: better together,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,It's The Future,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers
1021466437456217445,Lists are the new search,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments
1024145536490998555,Porto Seguro compra carteira de seguros Auto da Chubb,Jeff Seguros: SEGUROS E GAMES,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Transforming life insurance with design thinking,Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,A digital crack in banking's business model
1031060816592502094,Evernote anuncia integração com Google Drive | Google Discovery,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Testes unitários vs aceitação - Android Dev BR,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Inteligência artificial da IBM criou 'trailer perfeito' para filme,The technology behind preview photos
1060159005880386235,Internet of Things Drives Outcome-Based Business Models,DBA BRASIL no INTEROPMIX 2016,Standing on the Shoulders of Giants - Built to Adapt,How to finish 3D printed PLA objects,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,Why Programmers Want Private Offices
1107739178195154647,Peças Translúcidas,How to finish 3D printed PLA objects,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Laboratório da Disney cria robô que pula,1º Congresso Brasileiro de IoT - Embarcados,Bring Your App To Life with CALayers
1283472251609674486,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Para entender o Dia Internacional contra a Homofobia,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Tem hora certa pra sair do armário?,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
1318981494172475806,"Google acquires Synergyse, an interactive training service for Google Apps","Google launches Springboard, an AI-powered assistant for its enterprise customers","Hello, a nova rede social do Orkut, está liberada no Brasil","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Pega até em marte! TP-Link lança extensor de WiFi que tem alcance de 3 km²!,"Bots, Messenger and the future of customer service"
1348739322889189648,Johnson & Johnson comprará grupo suíço por US$ 30 bi,Dries Buytaert,Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,Who sponsors Drupal development? | Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
1356221992133852808,The brilliant mechanics of Pokémon Go,Can Accenture Take Over Advertising?,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Mobile marketing statistics 2016,An operating model for company-wide agile development,Artificial intelligence produces realistic sounds that fool humans
1379546145237381445,Eclipse Foundation Releases Neon,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Kubernetes,Graph Capabilities with the Elastic Stack,JavaServer Faces 2.3 Quick Reference - DZone Java,Serverless Data Sync in Web Apps with Bit Torrent
1415230502586719648,Machine Learning Is Redefining The Enterprise In 2016,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The barbell effect of machine learning.,Blaise Agüera y Arcas: How computers are learning to be creative,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations
1436883058900979473,The future of the shopping mall,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,6 exemplos de como usar computação cognitiva | EXAME.com,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Shopping app Spring's redesign could be a game-changer
1441248639512899483,One Dollar Board: Um projeto brasileiro para revolucionar a educação,11 Internet of Things (IoT) Protocols You Need to Know About,The AI business landscape,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
1468327003955810686,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,Exploring Java's Hidden Costs,Containers are not VMs,Post: Just Say mNo to Hungarian Notation,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,The Importance of Code Reviews
1469580151036142903,Don't document your code. Code your documentation.,Como testar exceções em Java com o JUnit - Code a Test,When to make a Git Commit,Using DiffUtil in Android RecyclerView,Mastering Bash and Terminal,Hype Driven Development
1549650080907932816,Spark comparison: AWS vs. GCP,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,"The ""Joel Test"" for Data Science",Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Scala is the new golden child
1561244083438776495,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Do You Suffer From Deployment Anxiety? - DZone DevOps,Build Quality In: The Key to Continuous Delivery in Kanban,"Docker - Build, Ship, and Run Any App, Anywhere",Labelling automated builds on Docker Hub - Microscaling Systems,Hype Driven Development
1567984561327445971,Testes unitários vs aceitação - Android Dev BR,Using DiffUtil in Android RecyclerView,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,"Fresco, sim! - Android Dev BR",Evernote anuncia integração com Google Drive | Google Discovery,The technology behind preview photos
1577045425286888616,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Burger King aceita pedidos via mensagens no Facebook - Startupi,Nova pulseira tecnológica avisa se você já bebeu demais,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,O que é liderança? Liderança é fazer a diversidade funcionar.,1º Congresso Brasileiro de IoT - Embarcados
1580124381109623727,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Text summarization with TensorFlow,Mary Meeker's essential 2016 Internet Trends Report,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,The AI business landscape,The return of the machinery question
1639450243805666792,Rating the English Proficiency of Countries and Industries Around the World,Tech in Brazil is booming despite the country's political troubles,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Build Quality In: The Key to Continuous Delivery in Kanban,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,The real reasons you procrastinate - and how to stop
1649085803937938638,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,The AI business landscape,Touch (TV Series 2012-2013),Text summarization with TensorFlow,The return of the machinery question,Here's proof that Google is getting serious about battling Facebook in a key area
1649752043999819668,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil
1734266821019430183,WeChat's world,WeChat's competitor to Slack has arrived,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic","How I built an app with 500,000 users in 5 days on a $100 server",Multi-Channel Marketing in 2015 - It's not rocket science.,Nintendo has doubled in value since Pokémon Go's release
1738052593226421681,Como resolver conflitos no ambiente corporativo us,Investimentos em coaching e mentoring aumentam nas empresas,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
1768072794787289517,55 fornecedores de TI que apresentarão novidades no Ciab 2016,The surprising truth about which countries lead in digital,Meio&Mensagem,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Transforming life insurance with design thinking,PwC faz virada digital e já fatura US$ 1 bilhão no mundo
1768976290984301641,Top 5 Android Testing Frameworks with Examples,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Dicas avançadas de ruby (capybara/cucumber),Testes unitários vs aceitação - Android Dev BR,The Broken Window Theory
1796618361228441836,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,Creating Compound Views on Android,Android irá recomendar aplicativos baseado na localização | Google Discovery,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Firebase Test Lab for Android
1797761064772338938,Mobile Time,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Nubank começa a testar seu programa de fidelidade - Empresas Tech
1854874463930846880,O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,A minha viagem à Maternidade #tetodomundo,Google employees are adding 'Lady' to their job titles to fight sexism,Para entender o Dia Internacional contra a Homofobia
1862503310075246782,Cinco competências essenciais ao IT Leaders - CIO,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Nubank e Goldman fecham parceria de R$ 200 milhões,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",The AI business landscape,A step-by-step guide to agile growth experiments
1873952032843878490,Hype Driven Development,How to build cross-platform mobile apps using nothing more than a JSON markup,Java 8 Streams : 10 missing features,"The Languages, Frameworks and Tools You Should Learn in 2017",Don't document your code. Code your documentation.,Communication patterns in a Microservice world
1878784080584939832,What Apple's differential privacy means for your data and the future of machine learning,Netflix emociona com vídeo destacando personagens LGBT,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
1881534532776527237,9 Non-Threatening Leadership Strategies for Women,A minha viagem à Maternidade #tetodomundo,Google employees are adding 'Lady' to their job titles to fight sexism,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
1929674614667189969,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,Two Different Sales Motions . . . .,7 Questions to Ask Before Your Next Digital Transformation,Can Accenture Take Over Advertising?
1990052153136096105,Introducing Ask a Female Engineer,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Workplace diversity in Brazil: there's still a long way to go,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
1992928170409443117,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Advanced Android Espresso,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Google's cloud platform is now a force to be reckoned with,Chrome OS now has Material Design for the desktop
2025471325746532174,Serverless real-time architecture on AWS: there is a way !,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless Architectures,bliki: StranglerApplication,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",My favorite people and resources to learn Android programming from
2048657552251060795,Creating value in auto finance with vLendRight | Kevin Moseri,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,How to Create an Exponential Mindset,The economic essentials of digital strategy,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Goodbye accountants! Startup builds AI to automate all your accounting
2072448887839540892,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Confused by blockchains? Revolution vs Evolution,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Banking Needs a Customer Experience Wake-Up Call,Mobile marketing statistics 2016,A digital crack in banking's business model
2103268612948910635,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",Workplace diversity in Brazil: there's still a long way to go,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,The Genderbread Person v3 | It's Pronounced Metrosexual,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
2106559900295325351,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Anti-If: The missing patterns,Angular 2 versus React: There Will Be Blood - Free Code Camp,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi
2124033843135988844,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A identidade visual de Budapeste para as Olimpíadas de 2024,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Sete Reinos,Design Better Forms - uxdesign.cc - User Experience Design,Chrome OS now has Material Design for the desktop
2134259819148812594,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,As compras e os hábitos dos brasileiros no shopping | EXAME.com,The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
2156244701966673186,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,The Genderbread Person v3 | It's Pronounced Metrosexual,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Workplace diversity in Brazil: there's still a long way to go,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas"
2229625391864201918,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Top 5 Android Testing Frameworks with Examples,Resenha - A Chegada,Sua comunidade de Teste.,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",gotwarlost/istanbul
2259988589066296676,Meio&Mensagem,Can Accenture Take Over Advertising?,55 fornecedores de TI que apresentarão novidades no Ciab 2016,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The need to lead in data and analytics,Meet the new Brazilian consumer
2262656830196923781,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Building Spring Cloud Microservices That Strangle Legacy Systems,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Firebase and Google Cloud: better together,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl
2267321579404324900,Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Olli: Artificial Intelligence for the real world of connected commuting,The moment when you realize every server in the world is vulnerable - Free Code Camp,Using DiffUtil in Android RecyclerView
2277184202014276839,How to build cross-platform mobile apps using nothing more than a JSON markup,Communication patterns in a Microservice world,Hype Driven Development,Arquitetura de Microserviços habilitando APIs - Sensedia,Programming by poking: why MIT stopped teaching SICP,IoT a favor do relacionamento médico-paciente
2280365999288629014,The Best Linux Distros of 2016,Chrome OS now has Material Design for the desktop,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Using Microservices Architecture as API Enablement Strategy,Iniciando com o Docker: Criando suas próprias imagens - Tableless,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery"
2285214528595997209,Docker e .Net,Our password hashing has no clothes,Introduction to release engineering,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Serverless Data Sync in Web Apps with Bit Torrent,Kubernetes
2321412363020240814,Lean IT is all about people - o Lean na TI é focado em pessoas,Investimentos em coaching e mentoring aumentam nas empresas,How to augment your career with leadership coaching,Qual é o valor da área de T&D na sua empresa?,4 Reasons Managers Should Spend More Time on Coaching,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
2362495898257544462,How Do Top Android Developers QA Test Their Apps?,Resenha - A Chegada,gotwarlost/istanbul,Creating Compound Views on Android,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Visa inaugura Co-Creation Center em São Paulo
2372438485070148864,The Continuous Delivery Maturity Model,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Monitoramento em tempo real com Elasticsearch e Kibana,"DevOps security requires new mindset and tools for visibility, automation",Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!
2417383163258637695,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",The Importance of Code Reviews,How to Design a Walkthrough That Users Will Read,You don't talk about refactoring club,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Dark Scrum
2468005329717107277,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,Graph Capabilities with the Elastic Stack,It's The Future
2495913984359439198,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,Firebase Test Lab for Android,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Testes unitários vs aceitação - Android Dev BR
2508620055362300376,Using DiffUtil in Android RecyclerView,Testes unitários vs aceitação - Android Dev BR,Listas com RecyclerView - Android Dev BR,Firebase Test Lab for Android,My favorite people and resources to learn Android programming from,Post: Just Say mNo to Hungarian Notation
2543311963908571128,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Combining Spring Boot and JDBI,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways","Fresco, sim! - Android Dev BR",On Orchestrated Microservices - Built to Adapt
2555983212310147009,The Definitive Guide to Database Version Control,Google segue Microsoft e lança ferramenta analítica grátis,Gartner Reprint,The Continuous Delivery Maturity Model,Gartner Reprint,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
2581138407738454418,10 Modern Software Over-Engineering Mistakes,"What do you mean by ""Event-Driven""?",The Broken Window Theory,Introduction to release engineering,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Torus
2589533162305407436,6 reasons why I like KeystoneML,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,"The ""Joel Test"" for Data Science"
2601622077116449484,Bancos brasileiros fecham 200 agências em 2015 - Home - iG,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software
2602221055863892168,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,Gartner Reprint,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
2607211459879791691,Leveling Up Your JavaScript -,The five phases of migrating to Google Cloud Platform,Berners-Lee quer criar outra Web,CSS Containment in Chrome 52 | Web Updates - Google Developers,The Java 8 API Design Principles,Docker 1.12: Now with Built-in Orchestration!
2625883933130361261,Making open source data more available,The AI business landscape,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",Google researchers teach AIs to see the important parts of images - and tell you about them,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
2633209697262372913,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Mobify report reveals impact of mobile website speed,"Don't Start Big, Start a Little Snowball",Não existe frete grátis!
2645380860642118790,'We've realized a ten-year strategy goal in one year',The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Blaise Agüera y Arcas: How computers are learning to be creative,Speeding up ReSharper (and Visual Studio),Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
2687654465640040976,Google is testing a new Material Design layout for desktop searches,Skill swarms - a new way to share expertise and work smarter together - Skillhive,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Ouça a música criada pela inteligência artificial do Google | Google Discovery,5 reasons your employees aren't sharing their knowledge,Facebook says its new AI is almost as good as humans at understanding context
2708089973817733462,You don't talk about refactoring club,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,Anti-If: The missing patterns,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema
2709926970543371965,A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Mulheres são mais criativas que homens?,Criadas para casar,#iLookLikeAnEngineer: One Year Later,Google employees are adding 'Lady' to their job titles to fight sexism
2715453133655798791,'The Simpsons' celebrates 600 episodes with a VR couch gag,Netflix emociona com vídeo destacando personagens LGBT,Nova campanha da Avon tem drag queen como estrela,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,What Apple's differential privacy means for your data and the future of machine learning
2719909253419802298,As expectativas das mulheres da Geração Y são muitas,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,O dia em que tive mais medo de estar errada.,A minha viagem à Maternidade #tetodomundo,#Sentaquelávemtextão,Para entender o Dia Internacional contra a Homofobia
2725842723638001955,Micro Profile JavaEE com Wildfly Swarm,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",IoT a favor do relacionamento médico-paciente,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Combining Spring Boot and JDBI
2727743992157210358,The Future of Digital Banking is Now,Bradesco lança serviço inédito para estimular o hábito de poupar,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Joel on Software
2765063319512128208,360 million reasons to destroy all passwords - Free Code Camp,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
2809702925357288303,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",This startup uses machine learning and satellite imagery to predict crop yields,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Google's Cloud Machine Learning service is now in public beta,Transfer Style But Not Color,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source
2817960273225808857,Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,Google Cloud Platform sets a course for new horizons,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Para entender o Dia Internacional contra a Homofobia,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,7 Questions to Ask Before Your Next Digital Transformation
2822049545552366036,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Two Different Sales Motions . . . .,The return of the machinery question,A step-by-step guide to agile growth experiments,An operating model for company-wide agile development,Artificial intelligence produces realistic sounds that fool humans
2857117417189640073,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,A step-by-step guide to agile growth experiments,An operating model for company-wide agile development,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Secret's founder returns with Bold, a Medium for enterprise","No, Apple isn't the next BlackBerry - it's the next Microsoft"
2858969450431709251,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Being A Developer After 40 - Free Code Camp,"Telecoms open shop on Madison Avenue, but will brands buy?",Google's Cloud Machine Learning service is now in public beta,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
2916072977192006313,Confused by blockchains? Revolution vs Evolution,Banking Needs a Customer Experience Wake-Up Call,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Itaú é pioneiro do blockchain,An operating model for company-wide agile development,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans"
2930191803881821526,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,How it feels to learn Javascript in 2016,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Elastic Stack 5.0.0 Released,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
2952636544547704346,Rewiring Citi for the digital age,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",An operating model for company-wide agile development,Embracing Agile,Big IT Rising,You won't recognize the new world of digital payments without this report
3035329611795434601,Bots won't replace apps. Better apps will replace apps.,Ordering coffee in Italy: the 10 commandments,Being A Developer After 40 - Free Code Camp,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Joel on Software,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
3064370296170038610,"Google, Amazon and the upcoming battle over AI Assistants",Machine Learning Is No Longer Just for Experts,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Algorithms and architecture for job recommendations,Google's Cloud Machine Learning service is now in public beta,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
3075564241645350154,Decentralizing IoT networks through blockchain,Nubank pode fechar as portas se BC confirmar mudança amanhã,The barbell effect of machine learning.,Visa lança desafio para startups de tecnologia - Startupi,Piloto de caça criado por inteligência artificial vence humano em combate simulado,You won't recognize the new world of digital payments without this report
3091351089612339864,What's the Best Programming Language to Learn in 2017?,LPIC-OT DevOps Engineer | Linux Professional Institute,Discutindo Devops na Prática,Gartner: em 2020 não haverá mais aplicativos,Most Interesting APIs in 2016: Cognitive Computing,Java 8 Streams - A Deeper Approach About Performance Improvement
3099207916247126790,Introducing New Relic Infrastructure,Using Honcho to Create a Multi-Process Docker Container,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Decentralizing IoT networks through blockchain,How it feels to learn Javascript in 2016,Docker 1.12: Now with Built-in Orchestration!
